,ID,author,year,title,keywords,journal,eprint,doi,adsurl
0,Alcorn2019ApJ...883..153A,"Alcorn, Leo Y. and Gupta, Anshu and Tran, Kim-Vy and Kacprzak, Glenn G. and Yuan, Tiantian and Cohn, Jonathan and Forrest, Ben and Glazebrook, Karl and Harshan, Anishya and Kewley, Lisa J. and Labb\'e, Ivo and Nanayakkara, Themiya and Papovich, Casey and Spitler, Lee R. and Straatman, Caroline M.~S.",2019,A Tale of Two Clusters: An Analysis of Gas-phase Metallicity and Nebular Gas Conditions in Proto-cluster Galaxies at z \ensuremath\sim 2,protoclusters,ApJ,1908.07057,10.3847/1538-4357/ab3b0c,https://ui.adsabs.harvard.edu/abs/2019ApJ...883..153A
1,Ando2020MNRAS.496.3169A,"Ando, Makoto and Shimasaku, Kazuhiro and Momose, Rieko",2020,A systematic search for galaxy proto-cluster cores at z \ensuremath\sim 2,protoclusters,MNRAS,2002.10511,10.1093/mnras/staa1757,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.3169A
2,Bassini2020A&A...642A..37B,"Bassini, L. and Rasia, E. and Borgani, S. and Granato, G.~L. and Ragone-Figueroa, C. and Biffi, V. and Ragagnin, A. and Dolag, K. and Lin, W. and Murante, G. and Napolitano, N.~R. and Taffoni, G. and Tornatore, L. and Wang, Y.",2020,The DIANOGA simulations of galaxy clusters: characterising star formation in protoclusters,"protoclusters, Simulations",A\&A,2006.13951,10.1051/0004-6361/202038396,https://ui.adsabs.harvard.edu/abs/2020A&A...642A..37B
3,Brodwin2012ApJ...753..162B,"Brodwin, M. and Gonzalez, A.~H. and Stanford, S.~A. and Plagge, T. and Marrone, D.~P. and Carlstrom, J.~E. and Dey, A. and Eisenhardt, P.~R. and Fedeli, C. and Gettings, D. and Jannuzi, B.~T. and Joy, M. and Leitch, E.~M. and Mancone, C. and Snyder, G.~F. and Stern, D. and Zeimann, G.",2012,IDCS J1426.5+3508: Sunyaev-Zel'dovich Measurement of a Massive Infrared-selected Cluster at z = 1.75,protoclusters,ApJ,1205.3787,10.1088/0004-637X/753/2/162,https://ui.adsabs.harvard.edu/abs/2012ApJ...753..162B
4,Casey2015ApJ...808L..33C,"Casey, C.~M. and Cooray, A. and Capak, P. and Fu, H. and Kovac, K. and Lilly, S. and Sanders, D.~B. and Scoville, N.~Z. and Treister, E.",2015,"A Massive, Distant Proto-cluster at z = 2.47 Caught in a Phase of Rapid Formation?",protoclusters,ApJ,1506.01715,10.1088/2041-8205/808/2/L33,https://ui.adsabs.harvard.edu/abs/2015ApJ...808L..33C
5,Chiang2015ApJ...808...37C,"Chiang, Yi-Kuan and Overzier, Roderik A. and Gebhardt, Karl and Finkelstein, Steven L. and Chiang, Chi-Ting and Hill, Gary J. and Blanc, Guillermo A. and Drory, Niv and Chonis, Taylor S. and Zeimann, Gregory R. and Hagen, Alex and Schneider, Donald P. and Jogee, Shardha and Ciardullo, Robin and Gronwall, Caryl",2015,Surveying Galaxy Proto-clusters in Emission: A Large-scale Structure at z = 2.44 and the Outlook for HETDEX,protoclusters,ApJ,1505.03877,10.1088/0004-637X/808/1/37,https://ui.adsabs.harvard.edu/abs/2015ApJ...808...37C
6,Chiang2014ApJ...782L...3C,"Chiang, Yi-Kuan and Overzier, Roderik and Gebhardt, Karl",2014,Discovery of a Large Number of Candidate Protoclusters Traced by \raisebox-0.5ex\textasciitilde15 Mpc-scale Galaxy Overdensities in COSMOS,protoclusters,ApJ,1312.4747,10.1088/2041-8205/782/1/L3,https://ui.adsabs.harvard.edu/abs/2014ApJ...782L...3C
7,Cucciati2014A&A...570A..16C,"Cucciati, O. and Zamorani, G. and Lemaux, B.~C. and Bardelli, S. and Cimatti, A. and Le F\`evre, O. and Cassata, P. and Garilli, B. and Le Brun, V. and Maccagni, D. and Pentericci, L. and Tasca, L.~A.~M. and Thomas, R. and Vanzella, E. and Zucca, E. and Amorin, R. and Capak, P. and Cassar\`a, L.~P. and Castellano, M. and Cuby, J.~G. and de la Torre, S. and Durkalec, A. and Fontana, A. and Giavalisco, M. and Grazian, A. and Hathi, N.~P. and Ilbert, O. and Moreau, C. and Paltani, S. and Ribeiro, B. and Salvato, M. and Schaerer, D. and Scodeggio, M. and Sommariva, V. and Talia, M. and Taniguchi, Y. and Tresse, L. and Vergani, D. and Wang, P.~W. and Charlot, S. and Contini, T. and Fotopoulou, S. and L\'opez-Sanjuan, C. and Mellier, Y. and Scoville, N.",2014,Discovery of a rich proto-cluster at z = 2.9 and associated diffuse cold gas in the VIMOS Ultra-Deep Survey (VUDS),protoclusters,A\&A,1403.3691,10.1051/0004-6361/201423811,https://ui.adsabs.harvard.edu/abs/2014A&A...570A..16C
8,Cui2020MNRAS.497.5220C,"Cui, Weiguang and Qiao, Jiaqi and Dav\'e, Romeel and Knebe, Alexander and Peacock, John A. and Yepes, Gustavo",2020,Protoclusters at \ug = 5.7: a view from the MultiDark galaxies,protoclusters,MNRAS,2008.01816,10.1093/mnras/staa2319,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.5220C
9,Daddi2009ApJ...694.1517D,"Daddi, E. and Dannerbauer, H. and Stern, D. and Dickinson, M. and Morrison, G. and Elbaz, D. and Giavalisco, M. and Mancini, C. and Pope, A. and Spinrad, H.",2009,"Two Bright Submillimeter Galaxies in a z = 4.05 Protocluster in Goods-North, and Accurate Radio-Infrared Photometric Redshifts","photometric-redshift, protoclusters",ApJ,0810.3108,10.1088/0004-637X/694/2/1517,https://ui.adsabs.harvard.edu/abs/2009ApJ...694.1517D
